date,rainfall,site,year,month,tasmax,tasmin
2015-12-16,188.7217329587109,Ainsdale,2015,12,12.255588448660387,7.2326573193687524
2016-01-16,96.7829729429833,Wytham,2016,1,8.633735507542125,2.4495842395438765
2016-01-16,143.99116614195808,Hazelrigg,2016,1,7.92484604133886,3.1687141979622786
2016-01-16,123.95279676552305,Ainsdale,2016,1,8.555214395335314,3.7349190975969826
2016-02-16,55.6589265247412,Wytham,2016,2,8.34593382487729,2.009721103097392
2016-02-16,124.09658013756581,Hazelrigg,2016,2,7.4380416223026335,1.6654218381017265
2016-02-16,69.99123280630367,Ainsdale,2016,2,8.1834209867277945,2.5367813864516755
2016-03-16,81.73608781369137,Wytham,2016,3,9.439104852424173,1.718424714086531
2016-03-16,78.09828103941658,Hazelrigg,2016,3,9.079919127516373,2.5957401959196185
2016-03-16,51.888615246071346,Ainsdale,2016,3,9.452762654498272,3.271925809774907
2016-04-16,55.79382657691845,Wytham,2016,4,12.1694991997874,3.5450760311197302
2016-04-16,62.648737775101885,Hazelrigg,2016,4,10.553986312285506,3.398190642760252
2016-04-16,71.49557554306843,Ainsdale,2016,4,11.062297219369576,4.345714254042197
2016-05-16,79.53567632188057,Wytham,2016,5,17.56304898180941,8.203132307983669
2016-05-16,37.21446592465777,Hazelrigg,2016,5,16.287167704984917,8.20657707290498
2016-05-16,39.30975100218413,Ainsdale,2016,5,16.7601936769316,8.9877102397639
2016-06-16,86.76910115333541,Wytham,2016,6,19.378023126533307,11.617247689017233
2016-06-16,149.90807436479255,Hazelrigg,2016,6,18.373550287426987,11.625422330948226
2016-06-16,88.44779158847622,Ainsdale,2016,6,18.832466374976043,12.607684163073062
2016-07-16,6.641040512447221,Wytham,2016,7,22.317257178122084,13.032495006986878
2016-07-16,100.76941762344637,Hazelrigg,2016,7,18.498383484845945,12.657696164954638
2016-07-16,54.73300329622223,Ainsdale,2016,7,19.196751094563762,13.771798169611897
2016-08-16,46.38836960387516,Wytham,2016,8,22.590529608838263,13.041956522836468
2016-08-16,155.7067125088161,Hazelrigg,2016,8,18.779498058050567,12.91662085379488
2016-08-16,71.93550041482044,Ainsdale,2016,8,19.773840226279493,13.948389937572701
2016-09-16,50.085371081815225,Wytham,2016,9,20.21968779307379,12.588028357864273
2016-09-16,94.55056259091543,Hazelrigg,2016,9,18.299837123078948,12.423739612005987
2016-09-16,58.263859444449935,Ainsdale,2016,9,19.148400526172257,13.09503611385053
2016-10-16,21.019548839841313,Wytham,2016,10,14.430309522689473,7.0717833345481695
2016-10-16,23.691478195667077,Hazelrigg,2016,10,13.861507526121947,7.696608162682496
2016-10-16,21.759625059226476,Ainsdale,2016,10,14.434625072959332,7.785285348133993
2016-11-16,91.64149613683551,Wytham,2016,11,8.93444934473289,2.8147292597262217
2016-11-16,156.1300644850965,Hazelrigg,2016,11,8.261984102423442,2.2110600496023864
2016-11-16,104.07484865636086,Ainsdale,2016,11,9.065492702444338,3.128638976512453
2016-12-16,30.029710940440676,Wytham,2016,12,9.015004603363279,2.558883809425131
2016-12-16,71.96801881703566,Hazelrigg,2016,12,9.165487329059472,4.371158789961933
2016-12-16,45.38209300212158,Ainsdale,2016,12,9.741332228499557,4.9070052328131695
2017-01-16,72.46910332595766,Wytham,2017,1,6.796177522205572,0.4888862940400387
