date,site,rainfall,tasmax,tasmin,tasmax_adj,tasmin_adj,Tmean,GDD,cumGDD
2025-02-10,Hazelrigg,0.104492188,4.946533203,2.691650391,4.946533203,4,4.473266601500001,0.47326660150000066,55.281494140999996
2025-02-11,Hazelrigg,0.003173828,5.53515625,3.029296875,5.53515625,4,4.767578125,0.767578125,56.049072265999996
2025-02-12,Hazelrigg,0.001220703,5.556396484,3.021484375,5.556396484,4,4.778198242,0.7781982420000002,56.827270508
2025-02-13,Hazelrigg,0,4.568847656,1.993408203,4.568847656,4,4.2844238279999995,0.28442382799999955,57.111694336
2025-02-14,Hazelrigg,0.374267578,4.811767578,-0.094482422,4.811767578,4,4.405883789000001,0.40588378900000066,57.517578125
2025-02-15,Hazelrigg,0.102294922,3.625,1.377441406,3.625,4,3.8125,0,57.517578125
2025-02-16,Hazelrigg,0,5.156738281,1.673339844,5.156738281,4,4.5783691404999995,0.5783691404999995,58.0959472655
2025-02-17,Hazelrigg,0,4.678955078,0.270019531,4.678955078,4,4.339477539000001,0.33947753900000066,58.4354248045
2025-02-18,Hazelrigg,0,5.047851563,-0.043212891,5.047851563,4,4.5239257815,0.5239257815,58.959350586
2025-02-19,Hazelrigg,6.326171875,12.19995117,1.586181641,12.19995117,4,8.099975585,4.099975584999999,63.059326170999995
2025-02-20,Hazelrigg,4.707275391,13.31933594,2.843017578,13.31933594,4,8.659667970000001,4.659667970000001,67.718994141
2025-02-21,Hazelrigg,1.991455078,14.44238281,9.260986328,14.44238281,9.260986328,11.851684569,7.851684569,75.57067871
2025-02-22,Hazelrigg,0.101074219,11.29711914,6.524658203,11.29711914,6.524658203,8.9108886715,4.9108886715,80.4815673815
2025-02-23,Hazelrigg,11.9909668,10.44360352,6.477294922,10.44360352,6.477294922,8.460449221,4.460449220999999,84.9420166025
2025-02-24,Hazelrigg,2.734863281,10.70385742,8.017089844,10.70385742,8.017089844,9.360473632,5.360473632,90.3024902345
2025-02-25,Hazelrigg,3.964599609,7.920654297,4.163085938,7.920654297,4.163085938,6.0418701175,2.0418701175000002,92.344360352
2025-02-26,Hazelrigg,3.258789063,7.875732422,2.573974609,7.875732422,4,5.937866210999999,1.9378662109999993,94.282226563
2025-02-27,Hazelrigg,0.1015625,8.390625,1.064697266,8.390625,4,6.1953125,2.1953125,96.477539063
2025-02-28,Hazelrigg,0.078857422,8.251464844,0.130371094,8.251464844,4,6.125732422,2.1257324219999996,98.603271485
2025-03-01,Hazelrigg,0,8.833251953,1.527099609,8.833251953,4,6.4166259765,2.4166259764999998,101.0198974615
2025-03-02,Hazelrigg,0,8.231445313,4.197753906,8.231445313,4.197753906,6.2145996095000005,2.2145996095000005,103.23449707099999
2025-03-03,Hazelrigg,0.791015625,8.194091797,5.318115234,8.194091797,5.318115234,6.7561035155,2.7561035155000004,105.9906005865
2025-03-04,Hazelrigg,0,8.163818359,4.290527344,8.163818359,4.290527344,6.227172851500001,2.2271728515000007,108.217773438
2025-03-05,Hazelrigg,0,11.23217773,3.543945313,11.23217773,4,7.616088865,3.616088865,111.833862303
2025-03-06,Hazelrigg,1.505859375,15.87646484,5.085205078,15.87646484,5.085205078,10.480834959000001,6.480834959000001,118.314697262
2025-03-07,Hazelrigg,0.399169922,13.73706055,9.270751953,13.73706055,9.270751953,11.5039062515,7.5039062515,125.8186035135
2025-03-08,Hazelrigg,0,16.77294922,9.32421875,16.77294922,9.32421875,13.048583985,9.048583985,134.8671874985
2025-03-09,Hazelrigg,0,17.31176758,7.063720703,17.31176758,7.063720703,12.187744141500001,8.187744141500001,143.05493164
2025-03-10,Hazelrigg,2.44e-4,12.06054688,4.610595703,12.06054688,4.610595703,8.3355712915,4.335571291500001,147.3905029315
2025-03-11,Hazelrigg,0,7.164794922,0.260009766,7.164794922,4,5.582397460999999,1.5823974609999993,148.9729003925
2025-03-12,Hazelrigg,0.413085938,8.055664063,0.439208984,8.055664063,4,6.0278320315,2.0278320315,151.000732424
2025-03-13,Hazelrigg,0,8.256835938,1.062744141,8.256835938,4,6.128417969,2.128417969,153.129150393
2025-03-14,Hazelrigg,0.008300781,9.744873047,2.003173828,9.744873047,4,6.8724365235,2.8724365235000002,156.0015869165
2025-03-15,Hazelrigg,0,10.01049805,-1.1015625,10.01049805,4,7.005249025,3.0052490250000004,159.00683594150001
2025-03-16,Hazelrigg,0,10.03637695,0.967041016,10.03637695,4,7.018188475,3.0181884749999996,162.0250244165
2025-03-17,Hazelrigg,0,7.584228516,3.487792969,7.584228516,4,5.792114258,1.7921142579999998,163.8171386745
2025-03-18,Hazelrigg,0,11.23901367,0.467773438,11.23901367,4,7.619506835,3.619506835,167.4366455095
2025-03-19,Hazelrigg,0,13.42382813,0.791259766,13.42382813,4,8.711914065,4.711914065,172.1485595745
2025-03-20,Hazelrigg,0,17.93798828,1.887207031,17.93798828,4,10.96899414,6.9689941399999995,179.1175537145
2025-03-21,Hazelrigg,1.411132813,14.89038086,8.786865234,14.89038086,8.786865234,11.838623047,7.8386230470000005,186.9561767615
2025-03-22,Hazelrigg,14.10449219,16.94604492,9.174072266,16.94604492,9.174072266,13.060058592999999,9.060058592999999,196.0162353545
2025-03-23,Hazelrigg,0.102783203,12.54150391,7.892578125,12.54150391,7.892578125,10.2170410175,6.2170410175,202.233276372
2025-03-24,Hazelrigg,0.001953125,10.42260742,1.674316406,10.42260742,4,7.21130371,3.21130371,205.444580082
2025-03-25,Hazelrigg,2.44e-4,12.13476563,4.677978516,12.13476563,4.677978516,8.406372073,4.406372073,209.850952155
2025-03-26,Hazelrigg,0,11.5534668,4.884033203,11.5534668,4.884033203,8.2187500015,4.2187500015,214.0697021565
2025-03-27,Hazelrigg,3.284912109,14.23828125,7.392089844,14.23828125,7.392089844,10.815185547,6.8151855470000005,220.8848877035
2025-03-28,Hazelrigg,0.208984375,9.309814453,6.568359375,9.309814453,6.568359375,7.939086914,3.9390869139999998,224.8239746175
2025-03-29,Hazelrigg,4.781005859,9.966064453,4.824707031,9.966064453,4.824707031,7.395385742,3.395385742,228.2193603595
2025-03-30,Hazelrigg,0,11.77075195,7.546142578,11.77075195,7.546142578,9.658447264,5.658447263999999,233.8778076235
2025-03-31,Hazelrigg,0,14.27246094,3.914550781,14.27246094,4,9.136230470000001,5.136230470000001,239.0140380935
2025-04-01,Hazelrigg,0,15.46337891,6.293212891,15.46337891,6.293212891,10.8782959005,6.8782959004999995,245.892333994
2025-04-02,Hazelrigg,0,15.54785156,4.349365234,15.54785156,4.349365234,9.948608397000001,5.948608397000001,251.840942391
2025-04-03,Hazelrigg,0,17.50146484,5.266357422,17.50146484,5.266357422,11.383911131,7.383911131,259.224853522
2025-04-04,Hazelrigg,0,18.2824707,8.594726563,18.2824707,8.594726563,13.4385986315,9.4385986315,268.6634521535
2025-04-05,Hazelrigg,0,14.28491211,4.393066406,14.28491211,4.393066406,9.338989258,5.338989258,274.0024414115
2025-04-06,Hazelrigg,0,15.29882813,4.27734375,15.29882813,4.27734375,9.78808594,5.78808594,279.7905273515
2025-04-07,Hazelrigg,0,15.35742188,1.3515625,15.35742188,4,9.67871094,5.67871094,285.4692382915
2025-04-08,Hazelrigg,0,15.37280273,2.110107422,15.37280273,4,9.686401365,5.686401365,291.1556396565
2025-04-09,Hazelrigg,0,13.15380859,3.633056641,13.15380859,4,8.576904295,4.576904295,295.7325439515
2025-04-10,Hazelrigg,0,11.77832031,1.743164063,11.77832031,4,7.889160155,3.889160155,299.6217041065
2025-04-11,Hazelrigg,0.001953125,16.46386719,4.620849609,16.46386719,4.620849609,10.5423583995,6.542358399499999,306.164062506
2025-04-12,Hazelrigg,0.405517578,18.76708984,4.141601563,18.76708984,4.141601563,11.4543457015,7.454345701499999,313.6184082075
2025-04-13,Hazelrigg,2.44e-4,10.60107422,7.118896484,10.60107422,7.118896484,8.859985351999999,4.859985351999999,318.4783935595
2025-04-14,Hazelrigg,3.458984375,13.16137695,4.733154297,13.16137695,4.733154297,8.9472656235,4.9472656235,323.425659183
2025-04-15,Hazelrigg,0.415039063,11.48999023,6.931152344,11.48999023,6.931152344,9.210571287,5.2105712870000005,328.63623047
2025-04-16,Hazelrigg,4.054931641,9.133300781,7.041503906,9.133300781,7.041503906,8.0874023435,4.087402343500001,332.7236328135
2025-04-17,Hazelrigg,0.183105469,12.38134766,6.070556641,12.38134766,6.070556641,9.2259521505,5.2259521504999995,337.949584964
2025-04-18,Hazelrigg,4.538330078,12.91748047,6.586181641,12.91748047,6.586181641,9.751831055499999,5.7518310554999985,343.7014160195
2025-04-19,Hazelrigg,0,13.63623047,8.451171875,13.63623047,8.451171875,11.0437011725,7.0437011725000005,350.745117192
2025-04-20,Hazelrigg,0.787841797,14.96582031,4.686279297,14.96582031,4.686279297,9.8260498035,5.8260498035,356.5711669955
