Species,Trait_name,grp,vcov,prop,status
HN,LMA,Residual,0.6815109663999904,0.22284577837255706,ok
HN,LDMC,Treatment,6.0817253621767363e-5,0.16307194658955573,ok
HN,LDMC,Time_point,1.6106784789387952e-4,0.43187822410390064,ok
HN,LDMC,Residual,1.5106226860952534e-4,0.40504982930654354,ok
HN,LWC,Treatment,6.081725361834238e-5,0.163071946570319,ok
HN,LWC,Time_point,1.6106784792032568e-4,0.43187822414818716,ok
HN,LWC,Residual,1.510622686094959e-4,0.40504982928149386,ok
HN,EWT,Treatment,6.058652688027475e-8,6.966956541017016e-4,ok
HN,EWT,Time_point,4.967390086037206e-5,0.5712093535265386,ok
HN,EWT,Residual,3.722820072997611e-5,0.42809395081935964,ok
BS,LMA,Time_point,3.92694668199427,0.7432020356891554,singular->zeroed
BS,LMA,Treatment,0,0,singular->zeroed
BS,LMA,Residual,1.3568745313759225,0.2567979643108447,singular->zeroed
BS,LDMC,Time_point,0.007087896333481859,0.6271120728472536,ok
BS,LDMC,Treatment,2.8308494545470843e-5,0.0025046357703816195,ok
BS,LDMC,Residual,0.004186234784243166,0.37038329138236487,ok
BS,LWC,Time_point,0.0070878963341277626,0.6271120728722431,ok
BS,LWC,Treatment,2.830849441829876e-5,0.0025046357590014466,ok
BS,LWC,Residual,0.004186234784304012,0.3703832913687554,ok
BS,EWT,Time_point,4.445346675759754e-7,0.14581470599273832,ok
BS,EWT,Treatment,1.983950197554365e-7,0.06507684008945883,ok
BS,EWT,Residual,2.4056974353547838e-06,0.7891084539178029,ok
CV,LMA,Time_point,18.43868010535881,0.8858226287149388,ok
CV,LMA,Treatment,0.28450758890988154,0.013668183343787998,ok
CV,LMA,Residual,2.092130753971637,0.10050918794127313,ok
CV,LDMC,Time_point,0.0883550391319185,0.9010949552052868,ok
CV,LDMC,Treatment,2.7591506527027835e-5,2.813938806693014e-4,ok
CV,LDMC,Residual,0.009670342160397324,0.09862365091404396,ok
CV,LWC,Time_point,0.08835503911562398,0.901094955188565,ok
CV,LWC,Treatment,2.7591506471828185e-5,2.8139388015301694e-4,ok
CV,LWC,Residual,0.00967034216048361,0.09862365093128202,ok
CV,EWT,Time_point,4.51691597017545e-5,0.7835568980199122,ok
CV,EWT,Treatment,7.650278297355044e-7,0.013271064529968958,ok
CV,EWT,Residual,1.1712117179628287e-5,0.20317203745011886,ok
LC,LMA,Time_point,1.258134595277625,0.39945555270110034,ok
LC,LMA,Treatment,0.15020006122646065,0.047688259029007536,ok
LC,LMA,Residual,1.7412888417053547,0.5528561882698921,ok
LC,LDMC,Time_point,0.001996050061232825,0.6027567086446847,singular->zeroed
LC,LDMC,Treatment,0,0,singular->zeroed
LC,LDMC,Residual,0.001315485144606691,0.3972432913553154,singular->zeroed
LC,LWC,Time_point,0.0019960528571912285,0.6027570514592174,singular->zeroed
LC,LWC,Treatment,0,0,singular->zeroed
LC,LWC,Residual,0.001315485103847924,0.39724294854078257,singular->zeroed
LC,EWT,Time_point,2.0791830223287953e-5,0.5898882415446837,ok
LC,EWT,Treatment,4.826185578391464e-7,0.01369244599264264,ok
LC,EWT,Residual,1.3972617966367962e-5,0.39641931246267376,ok
