date,site,rainfall,tasmax,tasmin,tasmax_adj,tasmin_adj,Tmean,GDD,cumGDD
2025-02-07,Wytham,3.0703125,3.352539063,0.565429688,3.352539063,4,3.6762695315,0,52.963867194
2025-02-08,Wytham,1.21875,4.224609375,1.069335938,4.224609375,4,4.1123046875,0.1123046875,53.0761718815
2025-02-09,Wytham,14.05273438,6.120117188,0.366210938,6.120117188,4,5.060058594,1.060058594,54.1362304755
2025-02-10,Wytham,0.952148438,3.233398438,1.331054688,3.233398438,4,3.616699219,0,54.1362304755
2025-02-11,Wytham,0.006835938,3.956054688,2.293945313,3.956054688,4,3.978027344,0,54.1362304755
2025-02-12,Wytham,0.00390625,4.3203125,2.493164063,4.3203125,4,4.16015625,0.16015625,54.2963867255
2025-02-13,Wytham,0,3.439453125,2.110351563,3.439453125,4,3.7197265625,0,54.2963867255
2025-02-14,Wytham,0.108398438,4.971679688,1.09375,4.971679688,4,4.485839844,0.485839844,54.7822265695
2025-02-15,Wytham,5.103515625,4.866210938,1.877929688,4.866210938,4,4.433105469,0.433105469,55.2153320385
2025-02-16,Wytham,9.77e-4,3.549804688,1.05859375,3.549804688,4,3.774902344,0,55.2153320385
2025-02-17,Wytham,0.055664063,5.491210938,-3.184570313,5.491210938,4,4.745605469,0.745605469,55.9609375075
2025-02-18,Wytham,0,6.720703125,-1.674804688,6.720703125,4,5.3603515625,1.3603515625,57.32128907
2025-02-19,Wytham,1.734375,11.60742188,-1.162109375,11.60742188,4,7.80371094,3.80371094,61.12500001
2025-02-20,Wytham,1.729492188,12.74902344,2.29296875,12.74902344,4,8.374511720000001,4.374511720000001,65.49951173
2025-02-21,Wytham,1.24609375,14.22753906,11.04394531,14.22753906,11.04394531,12.635742185,8.635742185,74.135253915
2025-02-22,Wytham,0.017578125,13.37988281,7.526367188,13.37988281,7.526367188,10.453124999,6.453124999,80.588378914
2025-02-23,Wytham,13.76269531,10.65722656,4.57421875,10.65722656,4.57421875,7.615722655,3.615722655,84.204101569
2025-02-24,Wytham,0.1171875,12.7109375,8.750976563,12.7109375,8.750976563,10.730957031500001,6.730957031500001,90.9350586005
2025-02-25,Wytham,6.139648438,10.43457031,5.377929688,10.43457031,5.377929688,7.906249999,3.906249999,94.8413085995
2025-02-26,Wytham,7.711914063,8.704101563,2.10546875,8.704101563,4,6.3520507815,2.3520507815,97.19335938100001
2025-02-27,Wytham,0.002929688,8.404296875,3.256835938,8.404296875,4,6.2021484375,2.2021484375,99.39550781850001
