date,site,tasmax
2025-03-06,Hazelrigg,15.87646484375
2025-03-06,Wytham,16.4482421875
2025-03-07,Ainsdale,13.969056919642858
2025-03-07,Hazelrigg,13.737060546875
2025-03-07,Wytham,14.701171875
2025-03-08,Ainsdale,17.811104910714285
2025-03-08,Hazelrigg,16.77294921875
2025-03-08,Wytham,15.9072265625
2025-03-09,Ainsdale,17.537862723214285
2025-03-09,Hazelrigg,17.311767578125
2025-03-09,Wytham,17.849609375
2025-03-10,Ainsdale,14.143219866071428
2025-03-10,Hazelrigg,12.060546875
2025-03-10,Wytham,9.85546875
2025-03-11,Ainsdale,8.054743303571428
2025-03-11,Hazelrigg,7.164794921875
2025-03-11,Wytham,8.224609375
2025-03-12,Ainsdale,9.192103794642858
2025-03-12,Hazelrigg,8.0556640625
2025-03-12,Wytham,7.5419921875
2025-03-13,Ainsdale,8.356501116071428
2025-03-13,Hazelrigg,8.2568359375
2025-03-13,Wytham,7.5244140625
2025-03-14,Ainsdale,9.963643973214285
2025-03-14,Hazelrigg,9.744873046875
2025-03-14,Wytham,7.6953125
2025-03-15,Ainsdale,8.834626116071428
2025-03-15,Hazelrigg,10.010498046875
2025-03-15,Wytham,8.490234375
2025-03-16,Ainsdale,10.22025669642857
2025-03-16,Hazelrigg,10.036376953125
2025-03-16,Wytham,7.4091796875
2025-03-17,Ainsdale,8.02890625
2025-03-17,Hazelrigg,7.584228515625
2025-03-17,Wytham,6.724609375
2025-03-18,Ainsdale,12.292717633928572
2025-03-18,Hazelrigg,11.239013671875
2025-03-18,Wytham,11.4599609375
2025-03-19,Ainsdale,13.405133928571429
2025-03-19,Hazelrigg,13.423828125
2025-03-19,Wytham,16.08203125
2025-03-20,Ainsdale,17.259709821428572
2025-03-20,Hazelrigg,17.93798828125
2025-03-20,Wytham,19.2333984375
2025-03-21,Ainsdale,16.42357700892857
2025-03-21,Hazelrigg,14.890380859375
2025-03-21,Wytham,16.9013671875
2025-03-22,Ainsdale,17.187806919642856
2025-03-22,Hazelrigg,16.946044921875
2025-03-22,Wytham,15.3603515625
2025-03-23,Ainsdale,11.938699776785715
