date,site,rainfall
2025-05-08,Wytham,0
2025-05-09,Ainsdale,0
2025-05-09,Hazelrigg,0
2025-05-09,Wytham,0
2025-05-10,Ainsdale,0
2025-05-10,Hazelrigg,0
2025-05-10,Wytham,0
2025-05-11,Ainsdale,0.12712053571428572
2025-05-11,Hazelrigg,0
2025-05-11,Wytham,2.587890625
2025-05-12,Ainsdale,0.45524553571428555
2025-05-12,Hazelrigg,0
2025-05-12,Wytham,2.0810546875
2025-05-13,Ainsdale,0
2025-05-13,Hazelrigg,0
2025-05-13,Wytham,9.765625e-4
2025-05-14,Ainsdale,0
2025-05-14,Hazelrigg,0
2025-05-14,Wytham,0
2025-05-15,Ainsdale,0
2025-05-15,Hazelrigg,0
2025-05-15,Wytham,0
2025-05-16,Ainsdale,0
2025-05-16,Hazelrigg,0
2025-05-16,Wytham,0
2025-05-17,Ainsdale,0
2025-05-17,Hazelrigg,0
2025-05-17,Wytham,0
2025-05-18,Ainsdale,0
2025-05-18,Hazelrigg,0
2025-05-18,Wytham,0
2025-05-19,Ainsdale,0.002092633928571429
2025-05-19,Hazelrigg,9.765625e-4
2025-05-19,Wytham,0
2025-05-20,Ainsdale,0.024386160714285714
2025-05-20,Hazelrigg,0
2025-05-20,Wytham,0.6181640625
2025-05-21,Ainsdale,0.0015625
2025-05-21,Hazelrigg,0
2025-05-21,Wytham,2.6962890625
2025-05-22,Ainsdale,0
2025-05-22,Hazelrigg,0
2025-05-22,Wytham,0
2025-05-23,Ainsdale,10.068247767857143
2025-05-23,Hazelrigg,14.56298828125
2025-05-23,Wytham,5.0224609375
2025-05-24,Ainsdale,1.2545479910714286
2025-05-24,Hazelrigg,5.894775390625
2025-05-24,Wytham,0.52734375
2025-05-25,Ainsdale,0.3979073660714286
2025-05-25,Hazelrigg,1.655517578125
2025-05-25,Wytham,9.765625e-4
2025-05-26,Ainsdale,13.421763392857141
2025-05-26,Hazelrigg,21.084716796875
2025-05-26,Wytham,3.087890625
2025-05-27,Ainsdale,6.9857700892857135
2025-05-27,Hazelrigg,2.411376953125
2025-05-27,Wytham,4.7841796875
2025-05-28,Ainsdale,7.371177455357143
2025-05-28,Hazelrigg,14.2666015625
2025-05-28,Wytham,0.6337890625
2025-05-29,Ainsdale,0.8842354910714285
2025-05-29,Hazelrigg,6.0703125
2025-05-29,Wytham,9.765625e-4
2025-05-30,Ainsdale,0.0038783482142857144
2025-05-30,Hazelrigg,0.332763671875
2025-05-30,Wytham,0
2025-05-31,Ainsdale,0.012193080357142857
2025-05-31,Hazelrigg,0.002197265625
2025-05-31,Wytham,0
2025-06-01,Ainsdale,0.4827287946428571
2025-06-01,Hazelrigg,0.92236328125
2025-06-01,Wytham,0.00390625
2025-06-02,Ainsdale,7.169308035714286
2025-06-02,Hazelrigg,14.04345703125
2025-06-02,Wytham,1.1044921875
2025-06-03,Ainsdale,1.2681082589285715
2025-06-03,Hazelrigg,1.30029296875
2025-06-03,Wytham,4.75
2025-06-04,Ainsdale,5.6291573660714285
2025-06-04,Hazelrigg,8.40087890625
2025-06-04,Wytham,0.6552734375
2025-06-05,Ainsdale,5.6288504464285705
2025-06-05,Hazelrigg,11.124755859375
2025-06-05,Wytham,7.58984375
2025-06-06,Ainsdale,5.847154017857143
2025-06-06,Hazelrigg,17.40185546875
2025-06-06,Wytham,1.3984375
2025-06-07,Ainsdale,4.941127232142857
2025-06-07,Hazelrigg,7.0400390625
2025-06-07,Wytham,4.8671875
2025-06-08,Ainsdale,1.4861328125
2025-06-08,Hazelrigg,1.421875
2025-06-08,Wytham,0.0498046875
2025-06-09,Ainsdale,8.852845982142856
2025-06-09,Hazelrigg,31.802734375
2025-06-09,Wytham,0.0478515625
2025-06-10,Ainsdale,0.0037109375
2025-06-10,Hazelrigg,2.44140625e-4
2025-06-10,Wytham,9.765625e-4
2025-06-11,Ainsdale,0
2025-06-11,Hazelrigg,2.44140625e-4
2025-06-11,Wytham,0
2025-06-12,Ainsdale,0.5378069196428572
2025-06-12,Hazelrigg,0.001220703125
2025-06-12,Wytham,1.94140625
2025-06-13,Ainsdale,19.544447544642857
2025-06-13,Hazelrigg,31.462158203125
2025-06-13,Wytham,9.765625e-4
2025-06-14,Ainsdale,0.06526227678571428
2025-06-14,Hazelrigg,1.11181640625
2025-06-14,Wytham,0.080078125
2025-06-15,Ainsdale,0.012053571428571429
2025-06-15,Hazelrigg,0.205322265625
2025-06-15,Wytham,0
2025-06-16,Ainsdale,0
2025-06-16,Hazelrigg,9.765625e-4
2025-06-16,Wytham,0
2025-06-17,Ainsdale,0.024358258928571425
2025-06-17,Hazelrigg,5.086669921875
2025-06-17,Wytham,9.765625e-4
2025-06-18,Ainsdale,0
2025-06-18,Hazelrigg,0
2025-06-18,Wytham,9.765625e-4
2025-06-19,Ainsdale,0
2025-06-19,Hazelrigg,0
2025-06-19,Wytham,0
2025-06-20,Ainsdale,0
2025-06-20,Hazelrigg,0
2025-06-20,Wytham,0
2025-06-21,Ainsdale,0.4346819196428572
2025-06-21,Hazelrigg,1.667236328125
2025-06-21,Wytham,0.2919921875
2025-06-22,Ainsdale,4.224135044642857
2025-06-22,Hazelrigg,7.691650390625
2025-06-22,Wytham,0.92578125
2025-06-23,Ainsdale,6.111104910714285
2025-06-23,Hazelrigg,7.54345703125
2025-06-23,Wytham,1.0166015625
2025-06-24,Ainsdale,2.0916015625
2025-06-24,Hazelrigg,0.306396484375
2025-06-24,Wytham,0
2025-06-25,Ainsdale,2.8203125
2025-06-25,Hazelrigg,5.84326171875
2025-06-25,Wytham,0.0029296875
2025-06-26,Ainsdale,0.8724609375
2025-06-26,Hazelrigg,3.2822265625
2025-06-26,Wytham,4.4443359375
2025-06-27,Ainsdale,0.003041294642857143
2025-06-27,Hazelrigg,1.09375
2025-06-27,Wytham,9.765625e-4
2025-06-28,Ainsdale,2.6780970982142858
2025-06-28,Hazelrigg,3.7041015625
2025-06-28,Wytham,0
2025-06-29,Ainsdale,0.002706473214285714
2025-06-29,Hazelrigg,2.44140625e-4
2025-06-29,Wytham,0
2025-06-30,Ainsdale,3.906250000000001e-4
2025-06-30,Hazelrigg,0
2025-06-30,Wytham,0
2025-07-01,Ainsdale,0.3694475446428571
2025-07-01,Hazelrigg,3.9345703125
2025-07-01,Wytham,0
2025-07-02,Ainsdale,0
2025-07-02,Hazelrigg,0
2025-07-02,Wytham,0.0068359375
2025-07-03,Ainsdale,0.005133928571428572
2025-07-03,Hazelrigg,0.002197265625
2025-07-03,Wytham,0
2025-07-04,Ainsdale,4.427399553571428
2025-07-04,Hazelrigg,18.8203125
2025-07-04,Wytham,0.0126953125
2025-07-05,Ainsdale,1.4796595982142855
2025-07-05,Hazelrigg,3.720947265625
2025-07-05,Wytham,0.1337890625
2025-07-06,Ainsdale,1.7248883928571428
2025-07-06,Hazelrigg,1.62255859375
2025-07-06,Wytham,6.08984375
2025-07-07,Ainsdale,0.6359654017857143
2025-07-07,Hazelrigg,0.001220703125
2025-07-07,Wytham,0.37109375
2025-07-08,Ainsdale,0.23950892857142858
2025-07-08,Hazelrigg,1.910888671875
2025-07-08,Wytham,0
2025-07-09,Ainsdale,0.001171875
2025-07-09,Hazelrigg,0
2025-07-09,Wytham,0
2025-07-10,Ainsdale,0
2025-07-10,Hazelrigg,0
2025-07-10,Wytham,0
2025-07-11,Ainsdale,0
2025-07-11,Hazelrigg,0.024658203125
2025-07-11,Wytham,0
2025-07-12,Ainsdale,0
2025-07-12,Hazelrigg,0
2025-07-12,Wytham,0
2025-07-13,Ainsdale,0.12332589285714284
2025-07-13,Hazelrigg,0.510009765625
2025-07-13,Wytham,0
2025-07-14,Ainsdale,2.53671875
2025-07-14,Hazelrigg,2.149169921875
2025-07-14,Wytham,0.38671875
2025-07-15,Ainsdale,9.696540178571428
2025-07-15,Hazelrigg,21.205078125
2025-07-15,Wytham,1.9248046875
2025-07-16,Ainsdale,0.022879464285714284
2025-07-16,Hazelrigg,9.765625e-4
2025-07-16,Wytham,0.6494140625
2025-07-17,Ainsdale,1.1235770089285713
2025-07-17,Hazelrigg,0.30224609375
2025-07-17,Wytham,0.1474609375
2025-07-18,Ainsdale,0.42380022321428573
2025-07-18,Hazelrigg,1.181884765625
2025-07-18,Wytham,4.17578125
2025-07-19,Ainsdale,0.9515066964285714
2025-07-19,Hazelrigg,1.802978515625
2025-07-19,Wytham,4.8037109375
2025-07-20,Ainsdale,8.035184151785714
2025-07-20,Hazelrigg,17.741943359375
2025-07-20,Wytham,3.845703125
2025-07-21,Ainsdale,1.86328125
2025-07-21,Hazelrigg,0.31005859375
2025-07-21,Wytham,8.8388671875
2025-07-22,Ainsdale,0.10080915178571428
2025-07-22,Hazelrigg,2.44140625e-4
2025-07-22,Wytham,1.66015625
